,Group,PD,SR,J,J_loess_prediction,J_residuals,J_highlight_high,J_highlight_low,R2
163,MAU,-0.9940005198661872,-1.213130445937304,-0.7333460720898369,0.2752801206119768,-1.0086261927018136,False,False,0.009295374433878179
164,MCI,-1.2685440601244593,-1.7447056892362882,1.7267788366282406,0.35227630700973755,1.374502529618503,False,False,0.009295374433878179
165,MDG,0.9781801691062716,1.0301489093247012,-0.4250271958267269,-0.044938609458160673,-0.3800885863685662,False,False,0.009295374433878179
166,MDR,-3.0945798514948133,-2.0137945668490214,1.0754534120517614,0.5589401141826951,0.5165132978690663,False,False,0.009295374433878179
167,MDV,-0.7094015441326795,-0.9708682891234034,0.4509945052784977,0.10980826572483844,0.3411862395536593,False,False,0.009295374433878179
168,MIC,-0.5720765914359263,-0.4715702278899226,-1.3865467281096262,0.053880576086450103,-1.4404273041960762,False,False,0.009295374433878179
169,MIN,-0.5028182619198294,-0.5395487887108873,-0.8790602323385724,0.025947218731067652,-0.9050074510696401,False,False,0.009295374433878179
170,MLI,0.6619265743628597,0.5634271192824869,-1.3719177765433206,-0.0644008050281714,-1.3075169715151491,False,False,0.009295374433878179
171,MLW,1.2059390387077846,1.106276940078676,0.0681204589593128,-0.028475758976549918,0.09659621793586272,False,False,0.009295374433878179
172,MLY,2.1609233842024707,1.9190054333660689,-0.3184494101337379,0.040555929941210614,-0.3590053400749485,False,False,0.009295374433878179
173,MNT,-0.3248631738209807,-0.3478112764350301,-0.4296351757427795,-0.025054783018245617,-0.4045803927245339,False,False,0.009295374433878179
174,MOL,0.8621709834605815,0.7425575116536355,0.5055416154697857,-0.05321968519721433,0.558761300667,False,False,0.009295374433878179
175,MON,-0.0753347481786902,0.220928367474343,0.5855987596293679,-0.047383520302260264,0.6329822799316281,False,False,0.009295374433878179
176,MOR,-0.080154327032154,0.0765290130562803,-0.5329319003352592,-0.04750968318871756,-0.4854222171465416,False,False,0.009295374433878179
177,MOZ,1.3226037308474576,1.269752601649205,-0.1969855216085167,-0.021029439063672408,-0.1759560825448443,False,False,0.009295374433878179
178,MRN,-0.5829021382217695,-1.0846843279216114,0.7068384863498014,0.05697924249423217,0.6498592438555693,False,False,0.009295374433878179
179,MRQ,-0.995162151666187,-1.5340381556825426,-0.184895061262762,0.27584883482575595,-0.46074389608851796,False,False,0.009295374433878179
180,MRS,-1.010767461190324,-1.5340381556825426,-0.5093735862845797,0.2831206992259724,-0.7924942855105521,False,False,0.009295374433878179
181,MRY,-0.4971522033657607,-0.6123776352883421,-0.3211796001966286,0.023695029194682065,-0.3448746293913107,False,False,0.009295374433878179
182,MSI,-0.6679474595856733,-0.7758306895441908,0.1143352466504493,0.08975542983298757,0.024579816817461728,False,False,0.009295374433878179
183,MSO,-0.3760425069554514,-0.5395487887108873,-1.815749100628256,-0.01324046393377581,-1.8025086366944802,False,False,0.009295374433878179
184,MTN,-0.502154520371769,-0.4715702278899226,-2.8392266522335867,0.02568308345282773,-2.8649097356864144,False,True,0.009295374433878179
185,MXC,0.7768010971342538,0.6341746128716227,0.2937652638413546,-0.058636868468798675,0.35240213231015327,False,False,0.009295374433878179
186,MXE,0.9780504752335092,0.8596013411073246,-0.0658296102245937,-0.04494873401083657,-0.02088087621375713,False,False,0.009295374433878179
187,MXG,1.1969417183514002,0.965132346865476,0.5122904055110948,-0.02907392864411781,0.5413643341552127,False,False,0.009295374433878179
189,MXN,0.5852583832485266,0.4611131282587262,0.0806148818664936,-0.06540329201713993,0.14601817388363353,False,False,0.009295374433878179
190,MXS,1.248807563307913,1.0612459368974017,0.3748528959625561,-0.02568359889528054,0.40053649485783666,False,False,0.009295374433878179
191,MXT,1.3008223652125086,1.1352899663565683,-0.0835104701505242,-0.02239027618000459,-0.0611201939705196,False,False,0.009295374433878179
192,MYA,2.31634791131532,2.06356860745182,0.2625751031554809,0.0534721189946337,0.2091029841608472,False,False,0.009295374433878179
193,NAM,0.1533848758001277,-0.1375911635537256,-1.9056909839423128,-0.06369241321558419,-1.8419985707267286,False,False,0.009295374433878179
194,NAT,0.6741487353994743,0.656749766401354,0.2925710414707233,-0.06412134953175891,0.35669239100248223,False,False,0.009295374433878179
195,NBR,-0.6241662108297968,-0.8686427403087341,-0.3240890081741688,0.07134458507718207,-0.39543359325135086,False,False,0.009295374433878179
196,NCA,-0.1599613700747242,-0.3478112764350301,-0.0321689129955837,-0.04393430109860965,0.01176538810302595,False,False,0.009295374433878179
197,NCB,0.8501532614131411,0.6341746128716227,0.320987423176193,-0.05412166978003949,0.3751090929562325,False,False,0.009295374433878179
198,NCS,-0.0853965133329883,0.3175208796893813,1.3916209317354418,-0.04742573037362676,1.4390466621090685,False,False,0.009295374433878179
199,NDA,-1.201021922890697,-0.8686427403087341,-0.4766362451897294,0.3373922259648872,-0.8140284711546166,False,False,0.009295374433878179
200,NEB,-0.7803204835596383,-0.6123776352883421,-2.077736172966792,0.14675061277482665,-2.2244867857416186,False,True,0.009295374433878179
201,NEP,1.6560597304958482,1.5572562346308276,0.8861822357635845,0.0006940695845267977,0.8854881661790577,False,False,0.009295374433878179
202,NET,-0.48912678370378,-0.0465899257343305,1.2525845451339996,0.020515284470593233,1.2320692606634065,False,False,0.009295374433878179
203,NEV,-0.4188256842497161,-0.1375911635537256,0.0926234137934534,0.0006837057634419536,0.09193970803001145,False,False,0.009295374433878179
204,NFK,-2.1235021938365857,-2.0137945668490214,-0.1303571091644381,0.45945443763060034,-0.5898115467950384,False,False,0.009295374433878179
205,NFL,-0.8841297636953138,-1.0846843279216114,1.533376908353825,0.20817920327613157,1.3251977050776933,False,False,0.009295374433878179
206,NGA,1.4964621600742338,1.6324472564544497,-0.342439062234946,-0.010083657265757624,-0.3323554049691884,False,False,0.009295374433878179
